,Sentence
4407,great cushion for heavy runners will take a beating and last
7132,very nice
7833,great value
6176,great shoes
4974,used dirty creased shoes
4853,back of shoes folds down behind heel no matter how carefully i put them on
8430,months and already wearing out come on asics you can do better
1520,shows started to fall apart after months
1758,never disappointed wearing new balance
4739,best shoes on the market
441,favorite running around shoe
3555,great quality for good price sneakers
8519,should’ve listened to the reviewers
6777,hated these
8476,not what you want
504,significant wear after little time
8579,breaking already
6880,too narrow for men s size
5897,comfortable but the sole color faded
3365,my sixth pair
4372,cute and light weight
1386,charged
1183,awesome
7323,excelente compra
4577,comfortable for walking running cross training
4876,great company
7740,excellent walking shoes
3654,nice
943,not as expected
3477,nice training shoes
5803,not really good for orthotics
5954,adorable but not enough support
6872,not enough arch support
1679,comfy true to size see edit
3132,cheap materials
3688,looks and feels great
8057,great sneakers
5006,shoes broke within month
6138,the best sneakers
3218,disappointed
2062,nice shoes
5845,too short
669,hard to get on
1007,may cause pain
615,these sneakers might be cute but they’re not a good look
997,compact and lite
7068,best sneakers ever repurchased multiple times
151,i really love these shoes
1464,new shoes
6599,terrible durability
6270,great shoe for people with very wide and flat feet
3536,very comfortable stylish and lightweight a little narrow though
4419,perfect fit most comfortable shoe ever
2331,order shoes a size wider than normal
6633,under armor failed
8387,no so great
6903,rippppp
2684,comfortable for long distance walking
7312,good product
3060,no cushion feet hurt after a few hours
5481,comfortable
8000,so far so good
112,comfy cute cozy
2984,nurse buy more expensive asics
4397,solid shoes for anything work and gym especially
2607,super comfortable shoes
1420,amazingly comfortable and flexible
2538,good shoe
5068,comfortable shoes with good support but terrible quality trash after only a month
1670,comfortable lightweight
2480,good shoes for orthotic inserts
6097,running shoe in wide size
6946,worthless
6190,the new ultimate dad shoe
6755,worse shoes i have ever owned
4980,less durable than in the past
6737,black on black looked better online
5208,maybe
4625,running
3056,size up a half size
2283,run size small
7030,perfect
2898,what has been up w amazon lately
7637,no revisan lo que mandan 😡
6964,not super comfy
6497,very comfortable
1781,love them
8431,don’t buy
5765,nice shoe but toe has worn out quickly
7181,buy em you ll love em
1993,very supportive
188,great lightweight shoe but not what i expected
5852,narrow fit
7041,comfortable fit
1082,squeaky but good
1291,very comfortable yet supportive
2574,great fit
2380,i love these shoes
2530,runs small
2996,some arch support not much cushion
4737,comfortable exercise shoe
8123,very light lots of cushion
2292,amazon s size chart is wrong
7064,great sneakers
6106,great sneaker
990,good comfortable shoe
1077,wire shoes for wide feet never been so comfortable without being oversized
5306,supportive and attractive shoe
5997,very odd design top of shoe
1663,great shoe
2644,great athletic shoes
3403,great sneakers i own five pairs that i rotate
7664,todo
7017,achilles tendon injury and best shoe i found
8662,waste of money
1778,new balance offers very good running shoes
3457,perfect for someone who works in a medical field
980,to review
598,two different shoes
1441,worth every penny
3300,snug fit and would like better soles
8290,good shoe but its stuck in florida and does move after a week yeah no keep it
7463,this is the second time i have ordered this exact shoe and i love them
551,horrible
5209,my favorite shoes ever
6818,they dig into your heels
8114,good value and an excellent product
1950,fitness
1130,awesome shoe
63,big but beautiful
2529,asics sneakers
1717,good looking shoe little arch support
6217,sharp looking tough sneaks
1836,new balance
5468,best shoes ever
6793,wide not actually wide
6064,still new but out of the box
3572,nice shoes
3638,great product
7907,good trail runner especially at price point
4655,the best shoes
7234,nice color lightweight shoes
1673,its ok somewhat
6412,worth it
1218,very nice quality and style 👌
5023,these look super cheap and gross for the money
9,perfect fit incredibly comfortable wipes clean
5675,don’t buy
2904,runs large
6449,very satisfied
918,don’t buy your feet will hate you
4482,fit is great
6671,didn t work for me
1011,best shoe in the range
8400,broke down quickly
1240,this is the second pair of these i have bought for my grandson
7468,five stars
6174,the perfect shoe
6573,rubber peeled on bottom of one sneaker
2723,needed a sturdy shoe
4497,very long lasting daily use shoes
5249,very comfortable
5397,comfortable
515,good but not great as walking shoes and definitely not worth the price
8113,works for me
2226,light weight and comfortable
3930,bring back the tazon d
8495,unacceptable
8134,comfort
6663,ok but they were defective
6875,memory foam is terrible
2498,asics venture is my favorite athletic shoe
2129,excellent material
7792,good model
5447,love em
8673,asics quality drop disappointed in the shoes
6327,comfortable
3600,wide comfortable nice and fast delevery
8548,not going to buy it again
5104,great shoe but not good for running
1013,value for money
2632,your feet deserve good shoes
4290,snug fit
791,pretty and comfortable but not worth the price needs good maintenance
470,awesome shoes
6470,comfortable and light rare in a size
5571,comfortable pretty
1563,runs a size small
6561,very disappointed in the quality
2518,not bad for cheap shoe
4944,to small in the forefoot
3867,disappointed
7185,i love these shoes comfy fit and look super cute on definitely recommending them to others
1274,good fit comfortable
5848,quality
1032,quality product extremely comfortable for bucks this can’t be beat happy feet
6627,nice shoe
2508,size runs a little small and color not same as pictured
4018,too narrow for my feet
506,very narrow uncomfortable pair of shoes
1937,a bit narrow
6589,meh
701,not good for an everyday shoe
6170,great shoe
2077,finally a wide shoe
3795,very comfortable
6722,these are not running shoes
84,very comfortable and good support
5714,great shoe until it fell apart
1602,cheap af
7063,overall
5369,perfect everyday shoe
4745,great service and great shoes to use for my daily run
1050,very comfortable
4265,maybe a imatation puma sneaker not as well made as the several i own
335,love these shoes
2115,very lightweight
2447,i love the asics tennis shoes
2207,comfortable but not durable
5584,not really new balance
3845,eh
4707,my son loves him
3530,just what i wanted
1750,order one half size larger to be happy
2694,great shoes
1245,fit perfect
5608,go up a size and a half if you have longer toes
1158,good shoes
7949,great show right out the box
953,i love the style
4330,me devolvieron el dinero en lo que devolví el producto
2796,fit is perfect
7035,these shoes are super light and comfortable
528,nooooo tongue pokes ankle
7399,looks good
511,super comfy and cute but not very durable
7103,hole in toe already
3094,do not buy
4584,great value
4615,i m a faithful ghost member
1108,love them
20,my favorite tennis shoes ever
6125,don t be afraid great shoe
2650,generally pleased
7473,my wife enjoyed her new sneakers
1372,love it
177,perfect
6982,received used shoes
8640,very disappointed
6526,virtually no arch in sneakers
8613,run smaller than the other gel forces
562,like shoes you buy at a pharmacy
6821,advertised as e but was not
8512,don t do it
8540,nice fit but but did not last
5420,light and comfy
7784,excellent grip very comfortable high quality
8360,insoles are glued in
2433,no room for orthotics
8055,great support
8493,not worthy
7194,perfect for bunions
2997,not wide as advertised
994,outstanding value
3571,comfortable
302,like walking on a cloud
1976,comfortable
6543,definitely order a size up as it runs small
7107,not for me
5557,love them
1695,my favorite athletic shoes
6168,great comfort
4664,comfort
6527,fits fine but boy does this dig into my achilles when walking
3597,great buy
2613,great shoes
5884,fell apart after weeks
2763,great
6279,good looking comfortable
4218,three stars
5318,comfie
2423,really great for plus size fitness enthusiasts
3171,way off
1851,great shoes second pair i ve bought
2251,no hay size wide
8235,very light foot protection and sole delamination
1289,excellent shoe package was way late
4484,brooks shoes
234,softest comfiest sneaker i ve ever slipped my feet into
56,cute but not as comfortable as i would like
3758,great shoes love it
5648,comfortable at first but didn’t last
1254,perfect for me
108,wonderful
1389,not bad but not great either for running
1595,this shoe been hurting my foot every time i wear it to work
7339,four stars
6258,perfect
15,so comfortable
7074,stylish
8594,runs small in toe area
2291,bad support wears out quickly
600,disappointed
1893,new balance
7493,didn t last long
5097,love new balance shoes
2749,so far so good
7159,great feel
2345,durability
5198,gre price
6075,not true to size
1744,good “dad” shoe
747,not supportive
8546,too tight on the toe box
5253,love these shoes
2969,too small a toe box
1714,true to size
748,good looking but not for all sports
5254,even the wide is a little snug
2830,very comfortable for flat footed people
8208,meh shoe
2640,happy size feet
6461,solid shoes
5882,roomy toebox but poor design
521,spare yourself the agony
5013,not brooks quality not sure they are brooks
4777,love them
3760,due to how perfect they fit me
6117,fit s exactly as expected very comfortable
5323,love run big size down a half size
2924,waste of money
5699,shoes
7854,quality comfort and durable while inexpensive
1017,good shoe once it’s broken in very stiff at first
4960,poor quality
3934,mediocre shoe not worth the sale price
4726,fit is good comfortable good support
7552,possibly fake
6094,bought two pair b c they feel so great
1364,great shoe
2515,nice pair of shoes
3156,the wide fit is quite narrow
7805,my hubby s second pair
1769,good shoe
4965,just another overpriced shoe
7507,fits very small
1608,runs very small order next size up
132,cute and comfortable
3515,i don t like it
3162,shoes look great but fit a little narrow
2544,nice shoes for the price
4531,lightweight and well balanced
5789,
5052,shoes too small and i had to pay for return shipping
8492,not durable
5775,all cusion no support makes sloppy shoe
5854,not true to size
437,very comfortable
3105,cute but runs small
7726,good affordable road to trail shoe
7061,delivery efficiency
3660,fit great look good and very durable
7737,comfortable but not as much gel cushion as i expected
2507,repeat purchase by choice
4066,should of passed on these
3202,same size in pic diff color bought blue yr ago
5129,jury still out
3852,heavy and stiff not for cardio
5592,too much work to put on
403,oh yea get it girl
2191,inexpensive running shoe
4296,i would like to see a complete description of the product
3551,great fit delivery time
732,running shoes
5574,comfortable and stylish
5658,fakes
941,difficult to get on
3513,love this shoe
2313,not a good shoe
3782,worthy
7976,works for travel and for military pt
1027,umm ok
4884,poor quality
6685,to be honest not so good
5554,order your correct size
4056,attractive but not functional
252,a bit small
2157,not for running over miles flat to no support
8326,too small hurt my feet
4516,very light extremely comfortable
2188,wider and a bit clunky
394,cute but not supportive
3873,great look but for casual wear only
1529,comfortable
7657,wrong size
8389,disappointed
4928,painfully uncomfortable shoe
858,tear in the tongue
6576,too small had to reorder bigger size
4760,excellent product fit snug
2328,no insoles
2095,smaller than usual
5691,uncomfortable when adding my orthotics
3663,great shoe
3808,like wearing slippers so comfortable
6101,thicker than charged impulse so far so good
376,super lightweight
7974,authentic
8205,mediocre workmanship or a knock off
1234,great shoe
2879,the only thing right was the color
2060,wears as advertised
4541,looks good fits good
563,stylish but no support
972,too wide
6103,enjoying my nature walks
7151,cool unisex shoes
3368,awesome gym shoe
4847,something s just not right
3856,great shoe terrible tonuge
2190,product not sized correcly
3819,i like
4133,style in spades
6435,perfect for work
5410,nice shoe
1370,buena calidad
3832,deff purchase
5039,too narrow
6042,great shoe
6032,politics aside i am impressed by under armour
2806,great for walking
7233,comfortable light weight sneaker
452,love these sneaker s rd pair
2074,confor and upper material fits like a glove
7836,wide feet with style
4909,not cushioning good support not cushioning
7767,excellent versatility
6501,blisters
4380,recommended by my physical therapist
2745,soooo comfy
6345,great walking shoe
7297,love them
3446,nice looking but too narrow
3662,great feel good looks awesome price
3255,feels hard
2766,good bye ankle and shin pain
7776,good foot support good value for adolescent boy
3188,they don’t always send the correct size
7769,simply amazing shoes
7175,perfect shoe
7747,great walking shoes
1271,nice fit
8635,blisters poor fit not worth any
3751,guy
8464,these are junk compared to any other asics shoe i ve ever owned
7778,nd time to buy venture
2748,best shoes yet
6181,highly recommend
8058,light weight comfort
5429,very comfortable and stylish
7917,very comfortable shoe
6857,poor quality
1733,got these gir my husband he really likes them for work
3731,years plus per pair
1646,good fit well except for the bloody heel
4197,great product with the exception of a cut shoestring
1486,bad quality
7301,love em
4945,runs small
3527,goodconfort
7065,great for wide feet
3560,excellent
6110,day one review
8237,less impressed
5757,size runs narrow
8266,they started coming apart months after receiving them
7981,awesome pair of shoes if you dont add inserts
8468,fatter tongue than previous year model
6057,great running shoes
221,nice fit
8529,great
7272,like these shoes
7593,pay attention before shipping product
1856,great shoes
80,adidas cloudfoam review
3982,dependable but they aren t nikes
8350,tends to be small
1440,el producto es bueno
2379,very supportive
278,super comfy runs size big
85,overall great shoe great price tongue uncomfortable
6352,perfect shoes
7624,two stars
6733,shoe runs small
7220,bought as a gift and wanted to keep
8427,these just did not have enough cushion
1675,runs small but great shoe
4966,meh
1079,perfect
8398,buyers beware
8619,cheap
6049,great work shoe for retail
7485,no support for standing all day
738,were cute and comfortable for about months
8610,weeks and the shoe have holes in it
3576,puma
5280,great shoes
5645,incorrect sizing
1653,cheap webbing
7335,perfect fit
6923,they aren t wide at all
5559,good looking and good fitting shoe
6307,looks great and very durable shoe
2395,for flat feet people
4766,very comfortae and well made
2132,great running shoe
2497,love the asics brand
3525,new favorite
7934,perfect fit gel cushioning throughout
2118,yes
4363,wish i bought these sooner
5204,very comfortable supportive and nice looking highly recommend
2509,good quality bulky
4907,they have a different tongue
4752,was looking for a true red shoe in person these look more orange
26,cute shoes
5480,super cute
1231,perfect for in outdoor running
6945,wrong item
1974,they run a bit shorter in the toe that other new balance shoes
882,light weight no support
1784,running is honorary
3059,defective shoes and unhelpful seller
8099,great i added support insoles
799,cute but don t waste your money
694,came damaged
3343,not a wide
2141,satisfied customer
5628,false advertisement
6047,finally a fit
5264,have pf and these are wonderful
8122,love the colors
8236,bad batch or knockoff
7650,not as good a deal as expected
4129,yuck
8212,nd updated review
5300,awesome
5289,comfort
2824,as always a win
1962,worth it
6816,not recommended
1693,nice shoe for the price awful laces
6632,don t just blindly trust because of the name brand
7496,do not buy
6459,perfect
1141,comfort
1649,ripped after minimum use
4910,much too small in every dimension
5145,very comfortable
3818,good purchase
4797,these may be the right shoe for you
4231,shoes
8061,they are comfortable
620,insole hot spots
3538,extremely comfortable to walk in
670,might as well go barefoot
7707,not all about the looks
3974,not enough support for running outside
7368,i love them so much i bought a backup pair
3550,men s puma sneakers
2512,not the best for problematic feet
518,for three months of good shoe
4076,ok shoes
6634,break in issue
4109,but will often order size which i did and they always fit fine i would need at least a size
1354,good item worth the money
1604,fell apart
16,cloud is right
8345,very poor walking shoe
2137,comfortable
4947,new design not as good at previous
1991,great shoe size extra wide fits great and is very comfortable
2673,comfotable right out of the box
4067,house slippers
8567,tiny shoes
187,one shoe is tight
4636,great hard to find extra wide sneaker
2739,i am happy with my purchase
8062,great shoes
5101,fabulous
3448,would recommend to anyone
7278,very comfortable really cute
3633,i’ve had several complaints on these shoes
2963,mislead by the positive reviews
6624,blisters
4551,best and lightest tennis shoe i have ever bought
2567,good not great
7423,it is good
3328,not the sneaker it used to be
8408,sizing
7320,fit as expected
2189,very disappointed
3591,i give these shoes an a rating and would recommend for people with high arch and wide ball of
6022,the most comfortable shoes i ve ever worn
6688,comfortable but very slippery
671,they sent me used shoes
4542,very comfortable
6609,the product could have been much better for its price
1476,shoes rub at back of ankle above heel abbrasion into skin blood blister
131,super comfy shoes
8121,comfortable
4072,satisfied
5018,review
594,not worth the price
3227,seem cheap for asics shoe strings are thin inappropriate
6426,comfortable
668,not wide enough
7249,great shoes
3373,no complaints so far
8282,too wide and short not comfortable
6278,nice shoes for casual walking
3831,i’d buy it again
5991,no lo puedo usar
2641,great shoes
7773,great shoes
1925,wide fits great
5351,good
3175,didn t last very long
6382,best price
6883,no foot support
5110,light so comfy amazing fit style
6782,poorly made
7626,nike shoes
4309,feel great i had exchange to a bigger size
4327,with finer scaled options
5177,best shoe ever
6659,comfy but harden sole splits apart
7928,happily relieved
3388,comfortable but slightly large
4357,great shoe except that the right one slightly defective
3144,work shoe
8279,these might work for you but i could not walk easily in them
5148,looks good but my heels slip up
1580,quality
3709,love them
3433,value
2785,great for the price
6157,great price quality
5337,best price for great shoes
2573,some of my favorite shoes
5583,fit high quality cute worthy
4617,husband loves
5390,great shoes
3266,the wide not wide enough for me
7380,love them
5721,i like the shoe but could use a little more support
7226,great shoe
5694,terrible shoe
3024,uncomfortable
6825,size not accurate poor quality of materials color was not as represented in the photos
2037,great
102,love these
3434,great quality
4676,perfect for me
8494,runs a bit larger than usual
4026,liked these shoes until they feel apart
1203,muy cómodas
7149,good gift
436,absolutely love this
3763,precio estupendo y entrega rapida👌
6716,not good for shock absorption
1052,the size runs small
1885,nice running shoes
746,i am very disappointed for a runner it doesn t have enough cushion
1049,very comfortable
4809,nice shoe for wide feet
8096,great shoe for wide feet
3883,tongue on left shoe gets bunched up and wears on top of foot
4457,brooks perfection as always
6036,bunion friendly
2436,good for jogging
6467,satisfied
5751,size was too small
6867,rear edge of the back heels have no give and will hurt you
3071,too tight across the top
355,so comfy
6723,size ordered did not fit
581,love the comfort but will not buy this style again got the white white black color
3332,poor quality
3991,undersized
7514,looks cute but not the most durable
510,be cautious
8522,poor quality
8559,look clunky and big
937,not what i expected
6388,satisfied customer
6172,good buy
3190,not supportive
1400,availability
8623,wrong color sent
7979,great product not so great of a vendor
4108,if you need arch support dont buy these
2523,great comfort while also providing fantastic foot support
810,narrow fit although lightweight
266,so cute and light weight
580,meh
127,true to size i love the look
5615,not a good running shoe
62,from barefoot to sneaker in days or less
3573,decent shoes
3501,comfortable
2028,great shoes
130,like walking on clouds
6902,make sure you know what you are getting
8467,you get what you pay
3463,puma you did it
6158,great looking and fitting shoe first time with ua brand is a hit
7516,if you want arch support don’t get these
6583,un verdadero peligro
3067,the most awkward fit
7138,most comfortable kicks ever
940,not comfy enough
2639,great neutral cushioning
3032,asics no longer great fit
2042,moderate terrain running shoe
3728,as described
5730,very uncomfortable
3399,terrific shoes will buy more soon
2002,as expected
2070,very comfortable perfect fit
572,manage your expectations
3736,love these really love
4325,cheaply made
175,perfect shoes for airplane travel
7329,excellent shoes
8580,shoe strings
1685,comfortable on long runs
4286,wore out quickly
1504,i used to love under armor but these are just stiff cheap and uncomfortable
4392,sturdy sleek and silent
5479,get themg
5325,comfy support and good looking
2055,nice
7479,not for working out
3904,shoe tongue
2353,coming apart disappointing
2733,better for hiking
7072,best shoes
3609,fits great
6076,meh for running good for gym workouts and walking
698,casual shoe nor tunning
2466,very comfortable and help foot leg hip pain
6475,great fit
5464,comfortable
4691,fit great
6649,small toe box
6989,wouldn’t buy again
4260,foam sole do not last
2850,love the asics gel venture
5617,way too wide don’t fit like regular nb
4638,brooks ghost fits great
1594,work fine but bottom pulling apart after wearing five times and not even working out in them
5600,i won t buy them twice
5899,already worn
1726,decent shoe and very light weight
6708,good but comes unglued
2003,new balance
7783,great shoes for walking on concrete all day
2045,fantastic shoe
4239,nice shoe runs a little big
6792,order a bigger size
4843,they are ghost what do you expect
7109,awesome recommended
8030,not wide enough even in the extra wide width
4124,order up one size
1273,good
6127,like walking on air
7825,comfortable airy
5703,no arch support
2820,too small
2434,comfy
2917,every predecessor gets cheaper every time
934,very narrow
653,ok for walking around house during the day…not a good exercise shoe
8074,solid shoe highly recommend
1511,unhappy custom
413,love these shoes
4557,brooks is best running shoe
7240,five stars
55,good comfortable everyday shoes
3087,runs narrow
4988,stains easily
3184,bluish purple color
156,fits right
3684,a very good buy
3484,good shoes for everyday use
6337,really nice shoes can t beat the price
3244,horrible
3035,disappointed
22,they make me want to work out
8382,rubber at toe is tearing away
7390,love these comfy and perfect size
7777,i ve been buying gel ventures for years and they hit the mark again
1421,very comfortable
5598,disappointment
2255,a little less
2971,run small
3520,fit perfectly
8499,painful
4603,best running shoe “ ”
6146,very comfy shoes that do not break the bank
7543,wide shoe much too narrow
6179,man these shoes are fast
4147,tight in the toes
392,great indoor aerobic shoes
346,perfect fit and soooooooo comfy
8624,runs small and they charge for returns
1503,squeaky shoes
4065,defective left shoe
5906,that s all
2460,great shoes so fast
5553,great
5244,stylish and light weight
7176,my favorite sneakers
8627,size is really size
3301,waist of trim
4373,got wide feet these are for you
6942,fit is small
6691,great shoes for the price
8014,great shoe good price 👌
6054,great fit and comfort
8432,nice looking but not comfortable to wear all day
2321,lightweight
6006,check the color
5069,will wear out quick
2543,half sizes above size
6794,months in…already falling apart
4887,not very durable
2083,size
6845,good good shoe for the money
2802,great shoes
3534,beautiful
6099,fantastic shoe for wide feet
7167,lindos
7846,comfortable and great value
2631,asics are supportive
6454,great product highly recommend
4143,not the best
1757,comfortable
8603,complete waste of money
3467,not to bad
229,love
4727,just buy them
5959,don’t like the heel
1432,very comfortable
7935,want some very comfortable shoes for walking these do the job
3215,heel too high
6992,perfect nikes
5391,perfect for plantar faciatis
3714,comfy but a bit stiff
7271,perfect true to size shoe
5819,the eyelet for the shoelace broke again nd pair
1739,so comfortable
3998,shoes run narrow
4051,talla impresisa
1300,very pleased
6512,not true to size
4005,bad shoes
4959,runs small
2972,they don’t last
6369,perfect fit
2482,so comfy
3717,excellent comfotable n classy looking
6198,great value and comfort
4769,great shoe
553,not a daily shoe
3780,fits good and comfortable
3198,to stiff
8126,instep seems low
5473,instant comfort
4675,comfortable great color
6180,multipurpose shoes
6692,not meant for running poor cushion
5577,if you have flat feet get a wide
6877,sad
8115,nice for price
7427,five stars
7012,didn’t receive what was advertised in photo
2493,best shoes for work and working out
4401,improvements but with flaws
7817,very comfortable
3228,not durable and so not worth the money as the inside of the shoes tore in a month
4374,support and comfort
7771,the best didn’t need reinventing
5302,not the same
5760,poor design
79,comfortable but doesn’t last very long
638,too big
74,great casual shoe
6400,nice shoe
7532,do not buy these are not real nikes they don t even come with box
8576,never buy
7746,in about months all asics sneakers will wear poorly in the heel they all do it
4022,in sneakers for pretty much most of the brands that are out there
1048,just what i needed
839,too narrow
7887,perfect fit solid shoe
8498,falls apart
1633,returned them
1878,fit as expected
5795,used looking
1192,lightweight as feather
2756,great shoes
218,adidas runs one size bigger buy one size down
2465,disappointed in color doesn t match images
4883,comfort shoe size
3529,very comfortable
7253,great looking sneaker but runs small
3402,older gentlemen love white athletic sneakers
7867,amazing
2159,soles are peeling off after only months
3025,good but not great
5688,opt for a wide or don’t purchase
6809,order a half size larger
3138,not same fit as use to be
1764,excellent
6643,not new sold as brand new
1477,didn’t last a month soles peeling off
5629,loop for shoe string not adequate
4045,low grade insole
8500,bad stitching
2965,don t last long
4438,great shoes
5106,comfortable lightweight and true to size
8170,comfortable
7698,mismatch shoe size in delivery box
3723,i am well pleased with this shoe
2088,nice
2678,comfortable and good for uneven gait
1547,cheap
619,cute but not the cushiest
27,super comfy
707,pretty sure these are knock offs
7416,love these
8217,cheaply made
3354,tag
4668,great shoe
317,order your size
5088,no fueton como esperaba
7804,decent cheap asics but a bit big
1374,fits is very comfortable an they look great
7713,great shoe for overweight people
8292,big drop in durability from model
8520,too small
6535,grossly undersized
5440,don t order the a width it isn t really available
3875,really narrow no arch suppott
4426,so comfortable
7645,three stars
3938,disappointing
3587,kicks
6465,amazing shoes
8243,i like asics but
6134,comfortable
7029,lightweight comfortable
4062,size fit snug but thought it would stretch after
8646,padding sucks
3524,nice shoes
7759,best running shoe on the market
5463,moonbeam light aluminum love
4344,old faithful great shoes
5295,awesome sneakers
2428,good fit but
8524,feel fit look
6455,can t complain
3532,comfortable
8379,runs small
8299,incredibly disappointing no durability did not last
115,so comfortable
7758,super comfy and fun colors
1063,really good shoe
1233,love it
461,comphy shoes for bumming around
2359,fits
1383,great shoe
6904,size
6169,incredibly light
1759,a good lightweight shoe for running or walking
5576,walking on clouds
5247,cute but a little narrow
3410,very nice shoes
6451,nice gym shoe for the price
3149,not for high arches
5797,very disappointed since she loved the colors
3626,fits perfectly relaxing to wear
1785,wide foot very plenty of room
7560,very cute but does not give much support making it
3331,not comfortable
4564,excellent shoe
8526,poor quality control
6219,stiff running shoe
680,bad quality control they sent defective tennis
8565,make sure you have free returns
6876,insanely tight way off the size i ordered
7152,my daughters favorite pair of shoes
6065,amazing shoes wrong size
2013,worth the price
3753,comfortable
4888,heel tab is poorly designed
4581,great comfort
2075,comfortable light weight and enough flexibility for my wide set toes
4038,a nice shoe but the front feels pressure on the foot
4964,no bounce
512,unique design and fit
6286,great fit and very comfortable
7095,nice shoes but it runs large
5082,like the shoes but run small
6885,no box
6770,coming apart
1428,great shoe
2975,not sized the same as before
7161,decent support for work on feet all day
1867,best bang for your buck
2815,great on concrete floors
3707,sweet
1247,great shoes
1248,excelente
5786,arrived used
201,my favorite shoes
1818,super comfortable shoe
5492,support and comfortable but super stylish
613,pretty sure these are counterfeit
2078,super comfy
222,athletic wardrobe staple
356,super comfortable
6717,under armour men s charged assert shoes are too snug for my toes squeezing them down
8358,a little tight
5433,great workout shoes not everyday wear
1406,looks great fit small
2363,don’t buy it
4458,great shoes
1615,not comfortable or supportive
2992,toe box is too narrow
7970,nice sneakers
7398,comfy
4253,pequeño
7210,incredible comfort
3181,too small
6680,had back pain while wearing daily
7890,fits well and is comfortable
106,super comfy lightweight and fresh ideal for hiit
887,fall apart after light usage
4348,youre basically running into the future
5024,cheaply manufactured shoe
6665,most likely a knockoff
1742,very fun shoe
6645,poor quality falling apart after uses
7852,these are great true to size
5549,stylish comfy shoe
8470,open box item sold as new
602,this is a fashion sneaker not a running shoe
2910,not impressed
1179,decent show for decent price
6156,worth it so comfortable
5516,better esthetics than i thought
7542,not happy
7816,a great shoe at a great price
7055,thumbs up
4820,most comfortable shoes ever
627,not comfortable at al
5296,comfortable and beautiful love
5142,way cuter on my favorite shoes
4592,very comfortable
2945,not enough structure to work as a decent athletic shoe
3680,great shoe and great price
4996,nothing like a ghost
622,sizing way off
3729,they feel awesome
1735,very comfortable nice fitting shoe
8013,great pair of running shoes and very attractive
169,comfortable
4063,feet burns during exercise
8373,are these original not sure
6976,wear
2768,these are a good fitness shoe
2001,comfort
2542,nice shoe
3157,fell apart
7469,great
2719,excellent foot support
4725,great shoes quick response by zappo
3053,so uncomfortable
5421,best sneakers everrrr
2006,so good so light weight
4168,not what i expected
6177,love these
703,run narrow
5310,sooooo comfortable and pretty
235,nice running shoes
5883,only worn these for two months and already have a hole
2994,cute but awful
6175,buy one full size up
3942,muy mal diseno
3500,perfect fit
6743,good at first
7330,tennis for my yr old son
3265,came unglued in the toe area in one week
6194,nice and light
8617,something is not right
1127,work shoes
3922,way too narrow for comfort
1522,good looking shoes
888,not what i expected
8202,total rip off
3022,comfortable
5668,not worth the price poor construction
6216,best running shoes ever
4361,good quality shoe
2821,snug fit
8616,won t last
6483,great sneakers and quick delivery
3514,great shoes
5606,inflexible shoe tongue
1472,only days in and they are ruined
8295,asics good for awhile
4096,good shoe
740,not running shoes
6288,💯🔥🧠😍🤯💘worth it and has memory foam insoals
2496,great fit function
2375,will buy a better quality shoe
5503,plan on getting more in other colors
